,n,avg_real,avg_cpu,med_cost,matrix,neighborhood_size
0,10,2456000.0,0.0,3.121572997281801,matrices/10_random_adj_mat_9.txt,5
0,15,3959200.0,0.0,5.739703978451553,matrices/15_random_adj_mat_0.txt,5
0,15,3535000.0,15625000.0,4.740514845583498,matrices/15_random_adj_mat_1.txt,5
0,15,3710200.0,0.0,4.687174699288468,matrices/15_random_adj_mat_2.txt,5
0,15,4554000.0,0.0,4.220272856663827,matrices/15_random_adj_mat_3.txt,5
0,15,3988800.0,0.0,4.370288127505886,matrices/15_random_adj_mat_4.txt,5
0,15,3598100.0,0.0,3.986124833652611,matrices/15_random_adj_mat_5.txt,5
0,15,3773700.0,0.0,4.048633918720525,matrices/15_random_adj_mat_6.txt,5
0,15,2957000.0,0.0,3.943414114632385,matrices/15_random_adj_mat_7.txt,5
0,15,4246700.0,0.0,4.359641151185857,matrices/15_random_adj_mat_8.txt,5
0,15,4207300.0,0.0,4.295559992095064,matrices/15_random_adj_mat_9.txt,5
0,20,4836000.0,15625000.0,6.150442407917743,matrices/20_random_adj_mat_0.txt,5
0,20,4880200.0,0.0,7.532315829495105,matrices/20_random_adj_mat_1.txt,5
0,20,4798600.0,15625000.0,6.910721508021967,matrices/20_random_adj_mat_2.txt,5
0,20,5540700.0,0.0,6.879117678839154,matrices/20_random_adj_mat_3.txt,5
0,20,4393500.0,0.0,5.881212206762746,matrices/20_random_adj_mat_4.txt,5
0,20,4712500.0,15625000.0,6.492832045439116,matrices/20_random_adj_mat_5.txt,5
0,20,4900900.0,0.0,6.820133396412405,matrices/20_random_adj_mat_6.txt,5
0,20,4399800.0,15625000.0,6.068645206199884,matrices/20_random_adj_mat_7.txt,5
0,20,5195400.0,0.0,7.420317509881498,matrices/20_random_adj_mat_8.txt,5
0,20,5108300.0,0.0,6.29952236038214,matrices/20_random_adj_mat_9.txt,5
0,25,5541500.0,15625000.0,7.472866848766331,matrices/25_random_adj_mat_0.txt,5
0,25,5908900.0,0.0,8.821836035469566,matrices/25_random_adj_mat_1.txt,5
0,25,7642900.0,15625000.0,7.817959214686631,matrices/25_random_adj_mat_2.txt,5
0,25,7342000.0,0.0,8.339503096734441,matrices/25_random_adj_mat_3.txt,5
