,n,avg_real,avg_cpu,med_cost,matrix,alpha
0,30,8652140.0,8750000.0,6.674749454181544,matrices/30_random_adj_mat_8.txt,0.97
0,30,7997420.0,8125000.0,6.092875703444898,matrices/30_random_adj_mat_9.txt,0.97
0,30,7934520.0,8125000.0,6.63163966231886,matrices/30_random_adj_mat_0.txt,0.97
0,30,7973608.0,8125000.0,6.391600692883726,matrices/30_random_adj_mat_1.txt,0.97
0,30,7959924.0,8125000.0,6.796946439742276,matrices/30_random_adj_mat_2.txt,0.97
0,30,7965020.0,7500000.0,6.933231057068758,matrices/30_random_adj_mat_3.txt,0.97
0,30,8292112.0,8125000.0,6.449848440909365,matrices/30_random_adj_mat_4.txt,0.97
0,30,7958056.0,8125000.0,7.16540312203028,matrices/30_random_adj_mat_5.txt,0.97
0,30,7948584.0,7500000.0,6.225877194647397,matrices/30_random_adj_mat_6.txt,0.97
0,30,7901036.0,7500000.0,6.618571471138527,matrices/30_random_adj_mat_7.txt,0.97
0,30,7928040.0,8125000.0,6.907691627944514,matrices/30_random_adj_mat_8.txt,0.97
0,30,7956848.0,8125000.0,6.150397228704989,matrices/30_random_adj_mat_9.txt,0.97
0,40,9956132.0,10000000.0,8.92951222345643,matrices/40_random_adj_mat_0.txt,0.97
0,40,10085224.0,10000000.0,8.486481776925311,matrices/40_random_adj_mat_1.txt,0.97
0,40,10015264.0,10000000.0,9.018918011181727,matrices/40_random_adj_mat_2.txt,0.97
0,40,10033948.0,10000000.0,8.699077007120954,matrices/40_random_adj_mat_3.txt,0.97
0,40,10139640.0,10000000.0,8.33829158467985,matrices/40_random_adj_mat_4.txt,0.97
0,40,10065328.0,10000000.0,8.71644049049746,matrices/40_random_adj_mat_5.txt,0.97
0,40,10036436.0,10000000.0,7.8933071582811305,matrices/40_random_adj_mat_6.txt,0.97
0,40,10024356.0,10000000.0,8.620021163518881,matrices/40_random_adj_mat_7.txt,0.97
0,40,10047048.0,10000000.0,8.799716772810914,matrices/40_random_adj_mat_8.txt,0.97
0,40,10022636.0,10000000.0,9.072114164903684,matrices/40_random_adj_mat_9.txt,0.97
0,50,12171880.0,11875000.0,10.956038512816244,matrices/50_random_adj_mat_0.txt,0.97
0,50,12474004.0,12500000.0,10.697705592683535,matrices/50_random_adj_mat_1.txt,0.97
0,50,12197036.0,12500000.0,10.483084738034442,matrices/50_random_adj_mat_2.txt,0.97
0,50,13268972.0,13125000.0,10.155651485308116,matrices/50_random_adj_mat_3.txt,0.97
0,50,12316840.0,12500000.0,10.847854497652074,matrices/50_random_adj_mat_4.txt,0.97
0,50,12154228.0,12500000.0,11.212882173917116,matrices/50_random_adj_mat_5.txt,0.97
0,50,12247452.0,11875000.0,11.074416158206242,matrices/50_random_adj_mat_6.txt,0.97
0,50,12528588.0,12500000.0,11.041360634601887,matrices/50_random_adj_mat_7.txt,0.97
0,50,12480452.0,12500000.0,10.363352093334656,matrices/50_random_adj_mat_8.txt,0.97
0,50,12207532.0,11875000.0,9.836365434552006,matrices/50_random_adj_mat_9.txt,0.97
0,5,3244916.0,3125000.0,2.2496127368286323,matrices/5_random_adj_mat_0.txt,0.95
0,5,3486764.0,3750000.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,0.95
0,5,3117748.0,3125000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,0.95
0,5,3156704.0,3125000.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,0.95
0,5,3145828.0,3125000.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt,0.95
0,5,3142244.0,3125000.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,0.95
0,5,3124328.0,3125000.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,0.95
0,5,3119272.0,3125000.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt,0.95
0,5,3148404.0,3750000.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,0.95
0,5,3130472.0,3125000.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,0.95
0,6,3336704.0,3125000.0,2.6549481998199593,matrices/6_random_adj_mat_0.txt,0.95
0,6,3412300.0,3750000.0,2.385794230095342,matrices/6_random_adj_mat_1.txt,0.95
0,6,3360300.0,3125000.0,2.582691013360782,matrices/6_random_adj_mat_2.txt,0.95
0,6,3320952.0,3750000.0,2.624479955310725,matrices/6_random_adj_mat_3.txt,0.95
0,6,3414880.0,3125000.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,0.95
0,6,3366032.0,3750000.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,0.95
0,6,3346652.0,3125000.0,1.754749692032551,matrices/6_random_adj_mat_6.txt,0.95
0,6,3400396.0,3125000.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,0.95
0,6,3459268.0,3125000.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt,0.95
0,6,3384916.0,3750000.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt,0.95
0,7,3529508.0,3125000.0,2.548515833666206,matrices/7_random_adj_mat_0.txt,0.95
0,7,4099120.0,3750000.0,2.1138150373113045,matrices/7_random_adj_mat_1.txt,0.95
0,7,3555852.0,3750000.0,2.7655386558697854,matrices/7_random_adj_mat_2.txt,0.95
0,7,3518932.0,3750000.0,2.846818037575111,matrices/7_random_adj_mat_3.txt,0.95
0,7,3786968.0,3750000.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,0.95
0,7,3543016.0,3750000.0,2.572356446914053,matrices/7_random_adj_mat_5.txt,0.95
0,7,3516052.0,3125000.0,2.3993175115964593,matrices/7_random_adj_mat_6.txt,0.95
0,7,3597164.0,3750000.0,2.9150211715806718,matrices/7_random_adj_mat_7.txt,0.95
0,7,3559692.0,3750000.0,2.313145784495734,matrices/7_random_adj_mat_8.txt,0.95
0,7,3493704.0,3750000.0,1.9213979013365259,matrices/7_random_adj_mat_9.txt,0.95
0,8,3716316.0,3750000.0,2.1802596544239057,matrices/8_random_adj_mat_0.txt,0.95
0,8,3631820.0,3750000.0,2.6618448708609623,matrices/8_random_adj_mat_1.txt,0.95
0,8,3658488.0,3750000.0,2.9221010888537022,matrices/8_random_adj_mat_2.txt,0.95
0,8,3645548.0,3125000.0,2.5500304966934046,matrices/8_random_adj_mat_3.txt,0.95
0,8,3672156.0,3125000.0,2.259541309300535,matrices/8_random_adj_mat_4.txt,0.95
0,8,3679084.0,3750000.0,2.5947795613832856,matrices/8_random_adj_mat_5.txt,0.95
0,8,3650412.0,3125000.0,2.716863450244099,matrices/8_random_adj_mat_6.txt,0.95
0,8,3679164.0,3125000.0,2.6530531857668955,matrices/8_random_adj_mat_7.txt,0.95
0,8,3656856.0,3750000.0,2.9245232677730297,matrices/8_random_adj_mat_8.txt,0.95
