,n,avg_real,avg_cpu,med_cost,matrix,mutation_chance
0,7,12655656.0,12500000.0,2.869162661634958,matrices/7_random_adj_mat_7.txt,0.05
0,7,11841060.0,11875000.0,2.3131457844957337,matrices/7_random_adj_mat_8.txt,0.05
0,7,11772380.0,11875000.0,1.9213979013365257,matrices/7_random_adj_mat_9.txt,0.05
0,8,14405256.0,14375000.0,2.169253240672645,matrices/8_random_adj_mat_0.txt,0.05
0,8,14513132.0,14375000.0,2.617022360072963,matrices/8_random_adj_mat_1.txt,0.05
0,8,14301920.0,14375000.0,2.922101088853702,matrices/8_random_adj_mat_2.txt,0.05
0,8,14110572.0,14375000.0,2.5500304966934046,matrices/8_random_adj_mat_3.txt,0.05
0,8,14572684.0,14375000.0,2.259541309300535,matrices/8_random_adj_mat_4.txt,0.05
0,8,14129716.0,14375000.0,2.5947795613832856,matrices/8_random_adj_mat_5.txt,0.05
0,8,14053352.0,14375000.0,2.6801242091455992,matrices/8_random_adj_mat_6.txt,0.05
0,8,14180304.0,14375000.0,2.653053185766895,matrices/8_random_adj_mat_7.txt,0.05
0,8,14225872.0,13750000.0,2.9245232677730293,matrices/8_random_adj_mat_8.txt,0.05
0,8,14176484.0,14375000.0,2.3974053238819213,matrices/8_random_adj_mat_9.txt,0.05
0,9,16794048.0,16875000.0,2.761946756155129,matrices/9_random_adj_mat_0.txt,0.05
0,9,16887356.0,16875000.0,3.4250616930531534,matrices/9_random_adj_mat_1.txt,0.05
0,9,17177776.0,17500000.0,2.9762434929458994,matrices/9_random_adj_mat_2.txt,0.05
0,9,16781388.0,16875000.0,2.4796224566556866,matrices/9_random_adj_mat_3.txt,0.05
0,9,16919252.0,16875000.0,2.748789980645658,matrices/9_random_adj_mat_4.txt,0.05
0,9,16794300.0,16875000.0,2.7163262667987818,matrices/9_random_adj_mat_5.txt,0.05
0,9,16840848.0,16875000.0,2.9718895923113235,matrices/9_random_adj_mat_6.txt,0.05
0,9,16799708.0,16875000.0,3.430925771103049,matrices/9_random_adj_mat_7.txt,0.05
0,9,17309688.0,17500000.0,2.9485998664242383,matrices/9_random_adj_mat_8.txt,0.05
0,9,17115208.0,16875000.0,2.250907469307563,matrices/9_random_adj_mat_9.txt,0.05
0,10,19852396.0,20000000.0,2.4264022434978916,matrices/10_random_adj_mat_0.txt,0.05
0,10,19862548.0,20000000.0,2.9706472638069203,matrices/10_random_adj_mat_1.txt,0.05
0,10,19989556.0,20000000.0,3.3513203310009425,matrices/10_random_adj_mat_2.txt,0.05
0,10,19951480.0,20000000.0,3.3224659291711216,matrices/10_random_adj_mat_3.txt,0.05
0,10,20003960.0,20000000.0,3.2268629179918995,matrices/10_random_adj_mat_4.txt,0.05
0,10,19979432.0,20000000.0,2.334051028911734,matrices/10_random_adj_mat_5.txt,0.05
0,10,20082444.0,20000000.0,2.8857885739773876,matrices/10_random_adj_mat_6.txt,0.05
0,10,19820528.0,19375000.0,2.8362240587991137,matrices/10_random_adj_mat_7.txt,0.05
0,10,20197612.0,20000000.0,2.983899143056186,matrices/10_random_adj_mat_8.txt,0.05
0,10,20035808.0,20000000.0,2.828184716381501,matrices/10_random_adj_mat_9.txt,0.05
0,15,39562684.0,39375000.0,4.217330233683956,matrices/15_random_adj_mat_0.txt,0.05
