,n,avg_real,avg_cpu,med_cost,matrix,restarts
0,20,9082900.0,15625000.0,6.014373426433948,matrices/20_random_adj_mat_1.txt,5
0,20,6928500.0,0.0,6.8073629914252525,matrices/20_random_adj_mat_2.txt,5
0,20,5807900.0,15625000.0,5.680033829270611,matrices/20_random_adj_mat_3.txt,5
0,20,5926600.0,0.0,4.885162805006997,matrices/20_random_adj_mat_4.txt,5
0,20,8189300.0,15625000.0,5.111807751362234,matrices/20_random_adj_mat_5.txt,5
0,20,6433800.0,0.0,6.141441757846004,matrices/20_random_adj_mat_6.txt,5
0,20,8327500.0,15625000.0,4.540923533963108,matrices/20_random_adj_mat_7.txt,5
0,20,7258900.0,15625000.0,5.400543278700058,matrices/20_random_adj_mat_8.txt,5
0,20,6804500.0,0.0,5.606024757986486,matrices/20_random_adj_mat_9.txt,5
0,25,11389300.0,15625000.0,6.673353794403784,matrices/25_random_adj_mat_0.txt,5
0,25,10244000.0,15625000.0,7.099228631880433,matrices/25_random_adj_mat_1.txt,5
0,25,12798800.0,15625000.0,6.115418259234055,matrices/25_random_adj_mat_2.txt,5
0,25,9752800.0,0.0,6.813371785601446,matrices/25_random_adj_mat_3.txt,5
0,25,8991200.0,15625000.0,7.164876131643177,matrices/25_random_adj_mat_4.txt,5
0,25,7868000.0,15625000.0,8.538356723212067,matrices/25_random_adj_mat_5.txt,5
0,25,11433800.0,0.0,5.497743077968612,matrices/25_random_adj_mat_6.txt,5
0,25,12086700.0,0.0,6.755752830979682,matrices/25_random_adj_mat_7.txt,5
0,25,10488300.0,15625000.0,7.1825836440765025,matrices/25_random_adj_mat_8.txt,5
0,25,11143200.0,15625000.0,6.685281081695647,matrices/25_random_adj_mat_9.txt,5
0,30,15763200.0,15625000.0,8.889413462073422,matrices/30_random_adj_mat_0.txt,5
0,30,9743500.0,15625000.0,9.34453626231773,matrices/30_random_adj_mat_1.txt,5
0,30,12598800.0,15625000.0,9.255207781443426,matrices/30_random_adj_mat_2.txt,5
0,30,12695900.0,15625000.0,7.886617465974804,matrices/30_random_adj_mat_3.txt,5
0,30,13720400.0,15625000.0,8.59560056650058,matrices/30_random_adj_mat_4.txt,5
0,30,11243200.0,0.0,8.686651021449586,matrices/30_random_adj_mat_5.txt,5
0,30,10846300.0,15625000.0,9.197305936348185,matrices/30_random_adj_mat_6.txt,5
0,30,12675100.0,15625000.0,9.625825557987428,matrices/30_random_adj_mat_7.txt,5
